model,domain_id,question_id,run_number,codex,claude,deepseek
gemma-4-31b-it,1,498,2,4.0,3.8,4.4
gemma-4-31b-it,1,498,3,4.4,4.75,5.0
glm-5.1,1,498,1,4.0,4.5,4.25
glm-5.1,1,498,2,3.6,3.75,4.0
glm-5.1,1,498,3,4.0,4.65,5.0
hermes-3-llama-3.1-405b,1,498,1,3.6,3.65,4.25
hermes-3-llama-3.1-405b,1,498,2,4.6,4.35,4.35
hermes-3-llama-3.1-405b,1,498,3,3.75,3.9,4.0
llada2.1-flash,1,498,1,3.2,3.2,3.6
llada2.1-flash,1,498,2,3.6,4.45,4.6
llada2.1-flash,1,498,3,3.2,2.85,3.6
llama-3.3-70b-instruct,1,498,1,3.95,3.75,5.0
llama-3.3-70b-instruct,1,498,2,4.4,4.15,5.0
llama-3.3-70b-instruct,1,498,3,4.0,4.35,4.75
llama4-maverick-17b-128e-moe,1,498,1,3.85,4.6,4.0
llama4-maverick-17b-128e-moe,1,498,2,3.85,4.25,4.25
llama4-maverick-17b-128e-moe,1,498,3,4.6,4.75,4.4
mistral-medium-3.5,1,498,1,3.85,4.6,4.4
mistral-medium-3.5,1,498,2,4.6,4.75,5.0
mistral-medium-3.5,1,498,3,4.6,4.35,4.6
qwen3.5-122b-a10b,1,498,1,4.6,4.85,5.0
qwen3.5-122b-a10b,1,498,2,4.6,4.6,5.0
qwen3.5-122b-a10b,1,498,3,4.45,4.85,4.65
qwen3.5-397b-a17b-moe,1,498,1,5.0,5.0,5.0
qwen3.5-397b-a17b-moe,1,498,2,4.6,5.0,5.0
qwen3.5-397b-a17b-moe,1,498,3,4.85,5.0,4.0
qwen3.5-9b,1,498,1,3.6,3.75,3.6
qwen3.5-9b,1,498,2,2.85,2.4,4.0
qwen3.5-9b,1,498,3,3.1,3.75,4.0
qwen3.6-27b-fp8,1,498,1,4.35,4.35,5.0
qwen3.6-27b-fp8,1,498,2,4.35,4.6,4.6
qwen3.6-27b-fp8,1,498,3,4.35,4.6,5.0
qwen3.6-35b-a3b-q8_0,1,498,1,4.2,4.45,4.6
qwen3.6-35b-a3b-q8_0,1,498,2,4.6,4.85,5.0
qwen3.6-35b-a3b-q8_0,1,498,3,4.2,4.6,4.2
command-a-03-2025,1,499,1,4.35,4.6,5.0
command-a-03-2025,1,499,2,4.0,4.6,5.0
command-a-03-2025,1,499,3,4.5,4.25,5.0
deepseek-v4-flash,1,499,1,4.6,4.75,4.25
deepseek-v4-flash,1,499,2,4.6,4.85,4.65
deepseek-v4-flash,1,499,3,4.6,4.6,4.65
gemma-4-12b-it-q8_0-llamacpp-a6000,1,499,1,2.6,2.85,3.25
gemma-4-12b-it-q8_0-llamacpp-a6000,1,499,2,3.0,3.4,3.25
gemma-4-12b-it-q8_0-llamacpp-a6000,1,499,3,2.25,2.8,2.5
gemma-4-31b-it,1,499,1,3.4,3.65,4.25
gemma-4-31b-it,1,499,2,3.15,3.4,4.15
gemma-4-31b-it,1,499,3,3.15,3.9,4.4
glm-5.1,1,499,1,4.0,4.5,5.0
glm-5.1,1,499,2,4.0,4.85,5.0
glm-5.1,1,499,3,3.75,4.4,4.4
hermes-3-llama-3.1-405b,1,499,1,3.6,4.1,5.0
hermes-3-llama-3.1-405b,1,499,2,4.0,4.75,5.0
hermes-3-llama-3.1-405b,1,499,3,4.15,4.6,4.75
llada2.1-flash,1,499,1,4.0,3.65,4.5
llada2.1-flash,1,499,2,4.0,3.4,5.0
llada2.1-flash,1,499,3,4.0,4.0,4.4
llama-3.3-70b-instruct,1,499,1,4.35,4.0,5.0
llama-3.3-70b-instruct,1,499,2,4.0,4.0,4.4
llama-3.3-70b-instruct,1,499,3,4.25,3.75,3.6
llama4-maverick-17b-128e-moe,1,499,1,4.85,5.0,5.0
llama4-maverick-17b-128e-moe,1,499,2,5.0,4.4,5.0
llama4-maverick-17b-128e-moe,1,499,3,4.85,4.6,5.0
mistral-medium-3.5,1,499,1,5.0,5.0,5.0
mistral-medium-3.5,1,499,2,4.6,4.75,4.75
mistral-medium-3.5,1,499,3,4.2,4.6,4.25
qwen3.5-122b-a10b,1,499,1,4.85,4.85,5.0
qwen3.5-122b-a10b,1,499,2,4.6,4.6,5.0
qwen3.5-122b-a10b,1,499,3,4.85,4.85,5.0
qwen3.5-397b-a17b-moe,1,499,1,3.85,4.5,4.6
qwen3.5-397b-a17b-moe,1,499,2,5.0,5.0,5.0
qwen3.5-397b-a17b-moe,1,499,3,5.0,5.0,5.0
qwen3.5-9b,1,499,1,3.6,4.25,4.0
qwen3.5-9b,1,499,2,3.6,4.0,4.0
qwen3.5-9b,1,499,3,3.6,3.75,4.0
qwen3.6-27b-fp8,1,499,1,4.6,4.45,4.85
qwen3.6-27b-fp8,1,499,2,4.2,4.6,5.0
qwen3.6-27b-fp8,1,499,3,4.6,4.85,4.85
qwen3.6-35b-a3b-q8_0,1,499,1,4.6,4.6,3.6
qwen3.6-35b-a3b-q8_0,1,499,2,3.85,4.85,5.0
qwen3.6-35b-a3b-q8_0,1,499,3,3.85,4.6,4.6
command-a-03-2025,1,500,1,3.5,3.65,4.0
command-a-03-2025,1,500,2,3.35,4.15,4.0
command-a-03-2025,1,500,3,2.0,2.4,2.65
deepseek-v4-flash,1,500,1,4.85,5.0,5.0
deepseek-v4-flash,1,500,2,4.35,4.6,4.25
deepseek-v4-flash,1,500,3,4.6,5.0,5.0
gemma-4-12b-it-q8_0-llamacpp-a6000,1,500,1,2.0,2.75,2.0
gemma-4-12b-it-q8_0-llamacpp-a6000,1,500,2,2.6,2.9,2.0
gemma-4-12b-it-q8_0-llamacpp-a6000,1,500,3,2.0,2.75,2.25
gemma-4-31b-it,1,500,1,4.0,4.15,4.0
gemma-4-31b-it,1,500,2,4.0,4.4,4.25
gemma-4-31b-it,1,500,3,5.0,4.4,4.25
glm-5.1,1,500,1,4.25,5.0,4.0
glm-5.1,1,500,2,4.0,5.0,4.75
glm-5.1,1,500,3,4.1,4.6,3.85
hermes-3-llama-3.1-405b,1,500,1,4.0,4.0,4.0
hermes-3-llama-3.1-405b,1,500,2,4.0,4.5,4.0
hermes-3-llama-3.1-405b,1,500,3,3.75,4.15,4.4
llada2.1-flash,1,500,1,3.6,3.6,4.0
llada2.1-flash,1,500,2,3.6,3.5,4.25
llada2.1-flash,1,500,3,3.35,3.5,3.6
llama-3.3-70b-instruct,1,500,1,4.0,3.75,4.0
llama-3.3-70b-instruct,1,500,2,4.5,4.75,4.0
llama-3.3-70b-instruct,1,500,3,4.35,4.75,4.4
llama4-maverick-17b-128e-moe,1,500,1,4.0,4.5,4.0
llama4-maverick-17b-128e-moe,1,500,2,3.85,4.6,4.25
llama4-maverick-17b-128e-moe,1,500,3,4.5,4.75,4.25
mistral-medium-3.5,1,500,1,4.0,4.25,4.25
mistral-medium-3.5,1,500,2,4.6,4.75,5.0
mistral-medium-3.5,1,500,3,4.35,4.4,4.25
qwen3.5-122b-a10b,1,500,1,4.25,4.25,3.85
qwen3.5-122b-a10b,1,500,2,4.0,4.65,4.6
qwen3.5-122b-a10b,1,500,3,3.95,4.0,4.0
qwen3.5-397b-a17b-moe,1,500,1,4.85,5.0,4.4
qwen3.5-397b-a17b-moe,1,500,2,4.35,4.25,4.0
qwen3.5-397b-a17b-moe,1,500,3,4.5,4.75,4.4
qwen3.5-9b,1,500,1,3.85,4.25,4.25
qwen3.5-9b,1,500,2,3.6,3.85,3.25
qwen3.5-9b,1,500,3,1.65,2.55,1.65
qwen3.6-27b-fp8,1,500,1,3.75,4.6,4.4
qwen3.6-27b-fp8,1,500,2,4.25,5.0,4.25
qwen3.6-27b-fp8,1,500,3,3.6,4.0,4.15
qwen3.6-35b-a3b-q8_0,1,500,1,4.5,4.65,4.65
qwen3.6-35b-a3b-q8_0,1,500,2,4.25,3.9,3.85
qwen3.6-35b-a3b-q8_0,1,500,3,3.6,4.1,4.0
command-a-03-2025,1,501,1,4.6,4.0,4.0
command-a-03-2025,1,501,2,4.6,4.6,4.4
command-a-03-2025,1,501,3,4.6,4.25,4.75
deepseek-v4-flash,1,501,1,4.6,5.0,4.25
deepseek-v4-flash,1,501,2,4.0,4.65,4.4
deepseek-v4-flash,1,501,3,4.35,5.0,4.25
gemma-4-12b-it-q8_0-llamacpp-a6000,1,501,1,2.0,2.15,1.0
gemma-4-12b-it-q8_0-llamacpp-a6000,1,501,2,1.4,1.65,1.0
gemma-4-12b-it-q8_0-llamacpp-a6000,1,501,3,2.0,2.15,1.85
gemma-4-31b-it,1,501,1,4.6,4.4,4.4
gemma-4-31b-it,1,501,2,4.4,4.65,4.4
gemma-4-31b-it,1,501,3,4.5,4.65,4.75
glm-5.1,1,501,1,4.0,4.65,4.25
glm-5.1,1,501,2,4.85,4.65,4.25
glm-5.1,1,501,3,4.5,4.75,4.4
hermes-3-llama-3.1-405b,1,501,1,3.6,4.0,3.35
hermes-3-llama-3.1-405b,1,501,2,4.6,4.75,4.4
hermes-3-llama-3.1-405b,1,501,3,4.75,4.4,4.65
llada2.1-flash,1,501,1,4.0,4.0,4.0
llada2.1-flash,1,501,2,3.25,3.15,3.25
llada2.1-flash,1,501,3,2.6,3.75,3.25
llama-3.3-70b-instruct,1,501,1,4.25,4.0,4.0
llama-3.3-70b-instruct,1,501,2,4.0,4.25,4.0
llama-3.3-70b-instruct,1,501,3,4.15,4.4,4.4
llama4-maverick-17b-128e-moe,1,501,1,4.0,4.75,4.0
llama4-maverick-17b-128e-moe,1,501,2,4.6,4.4,4.4
llama4-maverick-17b-128e-moe,1,501,3,4.0,4.15,4.0
mistral-medium-3.5,1,501,1,4.4,4.4,4.0
mistral-medium-3.5,1,501,2,4.75,4.65,4.75
mistral-medium-3.5,1,501,3,4.6,4.75,4.4
qwen3.5-122b-a10b,1,501,1,5.0,5.0,4.75
qwen3.5-122b-a10b,1,501,2,4.6,5.0,4.25
qwen3.5-122b-a10b,1,501,3,4.6,5.0,4.4
qwen3.5-397b-a17b-moe,1,501,1,4.6,4.85,5.0
qwen3.5-397b-a17b-moe,1,501,2,4.6,5.0,5.0
qwen3.5-397b-a17b-moe,1,501,3,4.6,5.0,5.0
qwen3.5-9b,1,501,1,1.65,2.4,1.9
qwen3.5-9b,1,501,2,1.4,1.4,2.25
qwen3.5-9b,1,501,3,3.0,3.65,2.65
qwen3.6-27b-fp8,1,501,1,4.0,4.85,4.25
qwen3.6-27b-fp8,1,501,2,4.35,5.0,4.4
qwen3.6-27b-fp8,1,501,3,4.6,4.1,4.0
qwen3.6-35b-a3b-q8_0,1,501,1,3.35,3.6,4.0
qwen3.6-35b-a3b-q8_0,1,501,2,3.85,4.25,3.85
qwen3.6-35b-a3b-q8_0,1,501,3,4.6,4.6,4.4
command-a-03-2025,1,502,1,4.85,4.4,4.4
command-a-03-2025,1,502,2,4.6,4.75,4.4
command-a-03-2025,1,502,3,3.6,4.35,4.6
deepseek-v4-flash,1,502,1,4.6,4.75,4.4
deepseek-v4-flash,1,502,2,3.1,3.5,4.1
deepseek-v4-flash,1,502,3,3.6,4.6,5.0
gemma-4-12b-it-q8_0-llamacpp-a6000,1,502,1,3.35,4.25,3.25
gemma-4-12b-it-q8_0-llamacpp-a6000,1,502,2,2.85,3.75,2.25
gemma-4-12b-it-q8_0-llamacpp-a6000,1,502,3,2.6,4.0,2.25
gemma-4-31b-it,1,502,1,5.0,4.75,5.0
gemma-4-31b-it,1,502,2,4.6,4.75,5.0
gemma-4-31b-it,1,502,3,5.0,4.75,5.0
glm-5.1,1,502,1,3.6,4.0,4.25
glm-5.1,1,502,2,3.85,4.6,4.6
glm-5.1,1,502,3,4.0,4.6,4.25
hermes-3-llama-3.1-405b,1,502,1,4.75,4.25,5.0
hermes-3-llama-3.1-405b,1,502,2,4.35,4.4,5.0
hermes-3-llama-3.1-405b,1,502,3,4.75,4.15,5.0
llada2.1-flash,1,502,1,4.2,4.6,3.85
llada2.1-flash,1,502,2,4.2,4.25,3.85
llada2.1-flash,1,502,3,3.6,4.1,4.85
llama-3.3-70b-instruct,1,502,1,4.6,4.4,4.65
llama-3.3-70b-instruct,1,502,2,4.75,4.75,4.0
llama-3.3-70b-instruct,1,502,3,4.6,4.75,4.5
llama4-maverick-17b-128e-moe,1,502,1,3.85,4.75,5.0
llama4-maverick-17b-128e-moe,1,502,2,3.6,4.6,4.0
llama4-maverick-17b-128e-moe,1,502,3,3.85,4.6,5.0
mistral-medium-3.5,1,502,1,4.0,4.75,5.0
mistral-medium-3.5,1,502,2,4.6,4.6,5.0
mistral-medium-3.5,1,502,3,4.6,4.75,5.0
qwen3.5-122b-a10b,1,502,1,3.75,5.0,5.0
qwen3.5-122b-a10b,1,502,2,3.45,3.45,4.45
qwen3.5-122b-a10b,1,502,3,4.0,4.85,5.0
qwen3.5-397b-a17b-moe,1,502,1,4.85,5.0,5.0
qwen3.5-397b-a17b-moe,1,502,2,4.25,5.0,5.0
qwen3.5-397b-a17b-moe,1,502,3,4.1,4.6,5.0
qwen3.5-9b,1,502,1,3.6,4.0,3.9
qwen3.5-9b,1,502,2,3.25,4.5,5.0
qwen3.5-9b,1,502,3,3.6,4.25,4.25
qwen3.6-27b-fp8,1,502,1,4.25,4.75,5.0
qwen3.6-27b-fp8,1,502,2,3.6,4.35,3.6
qwen3.6-27b-fp8,1,502,3,3.2,3.5,3.5
qwen3.6-35b-a3b-q8_0,1,502,1,4.2,4.45,4.85
qwen3.6-35b-a3b-q8_0,1,502,2,3.6,4.6,4.5
qwen3.6-35b-a3b-q8_0,1,502,3,3.8,4.2,3.25
command-a-03-2025,1,503,1,5.0,4.75,4.75
command-a-03-2025,1,503,2,4.75,4.75,5.0
command-a-03-2025,1,503,3,4.25,4.4,5.0
deepseek-v4-flash,1,503,1,5.0,5.0,5.0
deepseek-v4-flash,1,503,2,4.85,4.85,5.0
deepseek-v4-flash,1,503,3,5.0,5.0,5.0
gemma-4-12b-it-q8_0-llamacpp-a6000,1,503,1,3.6,3.4,3.5
gemma-4-12b-it-q8_0-llamacpp-a6000,1,503,2,2.75,3.0,2.5
gemma-4-12b-it-q8_0-llamacpp-a6000,1,503,3,3.85,4.6,3.25
gemma-4-31b-it,1,503,1,4.6,4.75,4.0
gemma-4-31b-it,1,503,2,4.6,4.75,4.0
gemma-4-31b-it,1,503,3,4.85,5.0,4.65
glm-5.1,1,503,1,4.25,4.4,4.4
glm-5.1,1,503,2,4.6,4.75,4.4
glm-5.1,1,503,3,4.45,3.75,4.25
hermes-3-llama-3.1-405b,1,503,1,5.0,4.75,4.65
hermes-3-llama-3.1-405b,1,503,2,5.0,4.75,5.0
hermes-3-llama-3.1-405b,1,503,3,5.0,4.4,4.4
llada2.1-flash,1,503,1,3.85,3.25,3.0
llada2.1-flash,1,503,2,3.2,3.2,2.6
llada2.1-flash,1,503,3,3.85,3.25,3.6
llama-3.3-70b-instruct,1,503,1,4.6,4.75,4.6
llama-3.3-70b-instruct,1,503,2,5.0,4.75,5.0
llama-3.3-70b-instruct,1,503,3,4.6,4.75,5.0
llama4-maverick-17b-128e-moe,1,503,1,4.0,4.15,4.25
llama4-maverick-17b-128e-moe,1,503,2,4.6,4.15,4.0
llama4-maverick-17b-128e-moe,1,503,3,4.0,4.4,4.25
mistral-medium-3.5,1,503,1,5.0,4.75,5.0
mistral-medium-3.5,1,503,2,4.6,4.75,4.75
mistral-medium-3.5,1,503,3,4.6,4.75,5.0
qwen3.5-122b-a10b,1,503,1,4.25,4.25,4.0
qwen3.5-122b-a10b,1,503,2,3.6,4.5,4.25
qwen3.5-122b-a10b,1,503,3,4.25,3.65,4.0
qwen3.5-397b-a17b-moe,1,503,1,4.85,4.65,5.0
qwen3.5-397b-a17b-moe,1,503,2,4.6,4.4,5.0
