model_a,model_b,mean_difference_a_minus_b,wilcoxon_statistic,p_value,standardized_mean_difference_pooled_sd,n_common_questions,bh_adjusted_p,bh_significant_0_05
llama-3.3-70b-instruct,llama4-maverick-17b-128e-moe,-0.0876,9059.5,0.0010565599,-0.1165,229,0.001459721,True
llama-3.3-70b-instruct,mistral-medium-3.5,0.1515,9218.0,0.0013627729,0.1742,229,0.0018583267,True
llama-3.3-70b-instruct,qwen3.5-122b-a10b,0.1202,10287.5,0.0225254516,0.1366,229,0.0278255579,True
llama-3.3-70b-instruct,qwen3.5-397b-a17b-moe,-0.0383,11350.5,0.1981677937,-0.0424,229,0.2286551466,False
llama-3.3-70b-instruct,qwen3.5-9b,0.5955,824.5,0.0,0.8561,229,0.0,True
llama-3.3-70b-instruct,qwen3.6-27b-fp8,0.2019,8513.5,1.17603e-05,0.2399,229,1.76404e-05,True
llama-3.3-70b-instruct,qwen3.6-35b-a3b-q8_0,0.1956,8860.5,8.12843e-05,0.2379,229,0.0001169157,True
llama4-maverick-17b-128e-moe,mistral-medium-3.5,0.2391,7353.5,3.776e-07,0.2712,229,6.007e-07,True
llama4-maverick-17b-128e-moe,qwen3.5-122b-a10b,0.2078,8297.5,4.48024e-05,0.233,229,6.62571e-05,True
llama4-maverick-17b-128e-moe,qwen3.5-397b-a17b-moe,0.0493,11306.5,0.7396327722,0.0539,229,0.7613866773,False
llama4-maverick-17b-128e-moe,qwen3.5-9b,0.6831,832.0,0.0,0.9615,229,0.0,True
llama4-maverick-17b-128e-moe,qwen3.6-27b-fp8,0.2894,6504.5,9e-10,0.3391,229,1.6e-09,True
llama4-maverick-17b-128e-moe,qwen3.6-35b-a3b-q8_0,0.2832,6702.0,8e-09,0.3392,229,1.39e-08,True
mistral-medium-3.5,qwen3.5-122b-a10b,-0.0314,9329.0,0.028384441,-0.0316,229,0.0346554222,True
mistral-medium-3.5,qwen3.5-397b-a17b-moe,-0.1898,3235.5,0.0,-0.1873,229,0.0,True
mistral-medium-3.5,qwen3.5-9b,0.444,2361.5,0.0,0.5322,229,0.0,True
mistral-medium-3.5,qwen3.6-27b-fp8,0.0503,11344.5,0.2357983285,0.0525,229,0.2662239193,False
mistral-medium-3.5,qwen3.6-35b-a3b-q8_0,0.0441,11341.5,0.4536204252,0.0468,229,0.491032419,False
qwen3.5-122b-a10b,qwen3.5-397b-a17b-moe,-0.1585,3636.5,0.0,-0.155,229,0.0,True
qwen3.5-122b-a10b,qwen3.5-9b,0.4754,1883.0,0.0,0.5626,229,0.0,True
qwen3.5-122b-a10b,qwen3.6-27b-fp8,0.0817,7513.5,5.28644e-05,0.0844,229,7.70939e-05,True
qwen3.5-122b-a10b,qwen3.6-35b-a3b-q8_0,0.0754,8717.5,0.0074297243,0.0793,229,0.0093990488,True
qwen3.5-397b-a17b-moe,qwen3.5-9b,0.6338,778.5,0.0,0.7295,229,0.0,True
qwen3.5-397b-a17b-moe,qwen3.6-27b-fp8,0.2402,2759.5,0.0,0.2427,229,0.0,True
qwen3.5-397b-a17b-moe,qwen3.6-35b-a3b-q8_0,0.2339,3706.5,0.0,0.2404,229,0.0,True
qwen3.5-9b,qwen3.6-27b-fp8,-0.3937,2150.0,0.0,-0.4892,229,0.0,True
qwen3.5-9b,qwen3.6-35b-a3b-q8_0,-0.3999,1956.5,0.0,-0.5096,229,0.0,True
qwen3.6-27b-fp8,qwen3.6-35b-a3b-q8_0,-0.0063,10599.0,0.5107087129,-0.0068,229,0.5416607561,False
