model,question_id,domain,level,run_count,mean_score,sd,variance,cv,scores
gemma-4-31b-it,721,D7,L3,3,3.1333333333333333,1.305118130030126,1.703333333333333,0.4165270627755721,"[4.6, 2.1, 2.7]"
qwen3.5-397b-a17b-moe,629,D4,L3,3,2.6333333333333333,1.088959748261309,1.1858333333333333,0.41352901832707933,"[1.75, 3.85, 2.3]"
deepseek-v4-flash,660,D5,L3,3,3.2333333333333334,1.334478674739066,1.780833333333334,0.4127253633213606,"[4.65, 2.0, 3.05]"
llama4-maverick-17b-128e-moe,737,D7,L3,3,2.625,1.0825317547305484,1.1718750000000002,0.4123930494211613,"[2.0, 2.0, 3.875]"
gemma-4-31b-it,706,D7,L3,3,2.4916666666666667,1.026320287889377,1.0533333333333335,0.4119011188853687,"[2.225, 3.625, 1.625]"
glm-5.1,600,D3,L2,3,1.7,0.7000000000000001,0.4900000000000001,0.411764705882353,"[2.5, 1.2, 1.4]"
hermes-3-llama-3.1-405b,737,D7,L3,3,3.1083333333333334,1.2753267555153593,1.6264583333333331,0.4102927899781317,"[4.475, 2.9, 1.95]"
llama-3.3-70b-instruct,643,D4,L3,3,2.916666666666667,1.1930353445448854,1.4233333333333333,0.40904068955824635,"[3.45, 3.75, 1.55]"
glm-5.1,622,D3,L3,3,1.5666666666666667,0.6350852961085882,0.40333333333333315,0.40537359326080097,"[1.2, 1.2, 2.3]"
llada2.1-flash,612,D3,L2,3,1.5666666666666667,0.6350852961085882,0.40333333333333315,0.40537359326080097,"[2.3, 1.2, 1.2]"
qwen3.5-397b-a17b-moe,615,D3,L3,3,1.5666666666666667,0.6350852961085882,0.40333333333333315,0.40537359326080097,"[1.2, 1.2, 2.3]"
llama4-maverick-17b-128e-moe,726,D7,L3,3,3.7166666666666663,1.4900363530240908,2.220208333333333,0.40090664206926213,"[4.475, 4.675, 2.0]"
hermes-3-llama-3.1-405b,540,D1,L3,3,2.466666666666667,0.9865765724632496,0.9733333333333336,0.399963475322939,"[2.0, 1.7999999999999998, 3.6]"
qwen3.5-122b-a10b,602,D3,L1,3,1.5583333333333333,0.6206515393788476,0.38520833333333326,0.39827906270300384,"[1.2, 2.275, 1.2]"
gemma-4-12b-it-q8_0-llamacpp-a6000,512,D1,L3,3,1.8166666666666667,0.7229857075581324,0.5227083333333333,0.3979737839769536,"[1.0, 2.375, 2.075]"
qwen3.5-122b-a10b,600,D3,L2,3,2.1333333333333333,0.8326663997864531,0.6933333333333332,0.3903123748998999,"[1.2, 2.4, 2.8]"
qwen3.6-27b-fp8,660,D5,L3,3,2.408333333333333,0.9321793461203337,0.8689583333333329,0.3870640883544638,"[2.0, 3.4749999999999996, 1.75]"
gemma-4-12b-it-q8_0-llamacpp-a6000,510,D1,L3,3,1.3333333333333333,0.5137687547266118,0.26395833333333335,0.38532656604495885,"[1.925, 1.0, 1.075]"
hermes-3-llama-3.1-405b,647,D4,L3,3,2.716666666666667,1.032392044396572,1.0658333333333334,0.38002161143432095,"[3.9, 2.0, 2.25]"
hermes-3-llama-3.1-405b,700,D7,L3,3,3.525,1.3339321571954097,1.7793749999999993,0.3784204701263574,"[2.0, 4.475, 4.1]"
glm-5.1,620,D3,L2,3,1.5333333333333334,0.5773502691896258,0.3333333333333334,0.3765327842541038,"[2.2, 1.2, 1.2]"
qwen3.6-35b-a3b-q8_0,609,D3,L2,3,1.5333333333333334,0.5773502691896258,0.3333333333333334,0.3765327842541038,"[1.2, 1.2, 2.2]"
gemma-4-12b-it-q8_0-llamacpp-a6000,540,D1,L3,3,2.55,0.9539392014169455,0.9099999999999998,0.37409380447723356,"[3.65, 1.9500000000000002, 2.05]"
deepseek-v4-flash,601,D3,L2,3,2.1,0.7810249675906655,0.6100000000000001,0.37191665123365025,"[2.6, 1.2, 2.5]"
qwen3.5-9b,541,D1,L3,3,2.4166666666666665,0.89489291724392,0.8008333333333334,0.3703005174802428,"[2.2, 1.65, 3.4]"
command-a-03-2025,614,D3,L2,3,2.5416666666666665,0.9395255895042632,0.8827083333333333,0.36964941226397247,"[2.05, 1.95, 3.625]"
qwen3.5-397b-a17b-moe,610,D3,L3,3,1.525,0.562916512459885,0.3168749999999999,0.3691255819409083,"[1.2, 1.2, 2.175]"
hermes-3-llama-3.1-405b,673,D6,L3,3,2.933333333333333,1.0692676621563624,1.1433333333333326,0.36452306664421447,"[2.7, 4.1, 2.0]"
glm-5.1,609,D3,L2,3,2.033333333333333,0.7371114795831993,0.5433333333333333,0.3625138424179669,"[2.6, 1.2, 2.3]"
llama4-maverick-17b-128e-moe,608,D3,L2,3,1.5166666666666666,0.5484827557301445,0.30083333333333334,0.3616369818000953,"[2.15, 1.2, 1.2]"
qwen3.5-122b-a10b,619,D3,L2,3,1.5166666666666666,0.5484827557301445,0.30083333333333334,0.3616369818000953,"[1.2, 2.15, 1.2]"
gemma-4-31b-it,710,D7,L3,3,1.6583333333333334,0.5907269532815762,0.34895833333333354,0.3562172582602469,"[2.325, 1.45, 1.2]"
hermes-3-llama-3.1-405b,630,D4,L2,3,3.1166666666666667,1.1094292827095078,1.230833333333333,0.3559666147731041,"[4.35, 2.2, 2.8]"
gemma-4-31b-it,615,D3,L3,3,2.033333333333333,0.7234178138070235,0.5233333333333333,0.3557792526919788,"[2.4, 2.5, 1.2]"
qwen3.5-397b-a17b-moe,600,D3,L2,3,2.033333333333333,0.7234178138070235,0.5233333333333333,0.3557792526919788,"[2.4, 2.5, 1.2]"
qwen3.6-27b-fp8,602,D3,L1,3,2.033333333333333,0.7234178138070235,0.5233333333333333,0.3557792526919788,"[2.4, 2.5, 1.2]"
mistral-medium-3.5,725,D7,L3,3,2.5166666666666666,0.8948929172439198,0.8008333333333332,0.35558658963334566,"[2.0, 3.55, 2.0]"
gemma-4-31b-it,727,D7,L3,3,2.7416666666666667,0.9747863013672963,0.9502083333333333,0.3555451555139075,"[1.65, 3.525, 3.05]"
gemma-4-12b-it-q8_0-llamacpp-a6000,639,D4,L2,3,2.2,0.7794228634059949,0.6075000000000002,0.35428311972999765,"[3.1, 1.75, 1.75]"
llama4-maverick-17b-128e-moe,700,D7,L3,3,3.075,1.0888640870191284,1.185625,0.35410214212004176,"[1.875, 3.35, 4.0]"
llama4-maverick-17b-128e-moe,745,D7,L3,3,2.8916666666666666,1.0174518825641503,1.0352083333333335,0.35185655881180994,"[4.0, 2.0, 2.675]"
hermes-3-llama-3.1-405b,719,D7,L3,3,2.716666666666667,0.9543758868146938,0.9108333333333332,0.3513040074164517,"[2.35, 3.8, 2.0]"
qwen3.5-397b-a17b-moe,727,D7,L3,3,2.5083333333333333,0.8804591605141793,0.7752083333333333,0.3510136188096396,"[2.0, 2.0, 3.525]"
command-a-03-2025,609,D3,L2,3,2.0,0.7,0.48999999999999994,0.35,"[1.2, 2.5, 2.3]"
gemma-4-31b-it,629,D4,L3,3,2.9333333333333336,1.0254064234894051,1.0514583333333334,0.34957037164411536,"[1.925, 2.9, 3.975]"
command-a-03-2025,727,D7,L3,3,3.5166666666666666,1.2278877527418104,1.5077083333333332,0.34916239414459066,"[2.1, 4.175, 4.275]"
qwen3.5-9b,496,D1,L3,3,3.4916666666666667,1.2104579023383393,1.4652083333333326,0.34667052095608764,"[4.6, 3.675, 2.2]"
llada2.1-flash,621,D3,L2,3,1.5,0.5196152422706632,0.2700000000000001,0.3464101615137755,"[1.2, 1.2, 2.1]"
llama-3.3-70b-instruct,606,D3,L1,3,2.0,0.6928203230275509,0.48,0.34641016151377546,"[1.2, 2.4, 2.4]"
llama4-maverick-17b-128e-moe,708,D7,L3,3,3.3333333333333335,1.1547005383792515,1.3333333333333333,0.3464101615137754,"[4.0, 2.0, 4.0]"
command-a-03-2025,645,D4,L3,3,1.9333333333333333,0.6639528095680697,0.4408333333333334,0.34342386701796707,"[1.55, 1.55, 2.7]"
gemma-4-12b-it-q8_0-llamacpp-a6000,645,D4,L3,3,1.9333333333333333,0.6639528095680697,0.4408333333333334,0.34342386701796707,"[2.7, 1.55, 1.55]"
llama4-maverick-17b-128e-moe,717,D7,L3,3,3.3,1.1269427669584644,1.2699999999999998,0.34149780816923164,"[2.0, 4.0, 3.9]"
mistral-medium-3.5,705,D7,L3,3,3.425,1.1691342951089918,1.3668749999999992,0.34135307886393923,"[4.1, 2.075, 4.1]"
hermes-3-llama-3.1-405b,733,D7,L3,3,2.9166666666666665,0.9950921230385322,0.9902083333333334,0.34117444218463966,"[2.775, 2.0, 3.975]"
gemma-4-31b-it,660,D5,L3,3,3.283333333333333,1.1125234079934379,1.2377083333333334,0.3388396166477476,"[3.875, 3.975, 2.0]"
llama-3.3-70b-instruct,610,D3,L3,3,1.4916666666666667,0.5051814855409227,0.2552083333333335,0.338669152317937,"[1.2, 2.075, 1.2]"
qwen3.6-27b-fp8,621,D3,L2,3,1.4916666666666667,0.5051814855409227,0.2552083333333335,0.338669152317937,"[2.075, 1.2, 1.2]"
hermes-3-llama-3.1-405b,608,D3,L2,3,1.9666666666666668,0.6658328118479394,0.44333333333333347,0.3385590568718336,"[2.3, 2.4000000000000004, 1.2]"
llama-3.3-70b-instruct,608,D3,L2,3,1.9666666666666666,0.6658328118479393,0.44333333333333336,0.3385590568718336,"[1.2, 2.3, 2.4]"
llama4-maverick-17b-128e-moe,731,D7,L3,3,2.8916666666666666,0.9664151971763136,0.9339583333333331,0.33420698461428716,"[4.0, 2.45, 2.225]"
